,"Cash Flows from/Used in Operating Activities, Direct","Net Cash Flow from Continuing Operating Activities, Direct","Cash Receipts from Operating Activities, Direct","Interest Received, Direct","Cash Payments from Operating Activities, Direct","Payments to Suppliers for Goods and Services, Direct","Taxes Paid, Direct","Interest Paid, Direct","Other Cash Payments from Operating Activities, Direct",Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,Exploration and Mine Development Costs,"Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,Other Investing Cash Flow,"Purchase/Sale of Other Non-Current Assets, Net",Purchase of Other Non-Current Assets,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment",Purchase of Mineral Properties/Rights/Interests,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Payments for Common Stock, Net",Proceeds from Issuance of Common Stock,Issuance of/Repayments for Lease Financing,Issue and Financing Costs,Share Issuance Costs,Other Financing Cash Flow,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Repayments for Long Term Debt,"Cash and Cash Equivalents, End of Period",Change in Cash,"Cash and Cash Equivalents, Beginning of Period"
Other Current Liabilities,0.015548149873031762,0.015026361189624048,0.06349717815581454,0.04261013368851867,0.022611974410343693,0.01353701763165709,0.004503203147304518,0.02321803625889589,0.07075100968777165,0.03139404891770632,0.015700227537834885,0.015099575762785044,0.022995241317623188,0.01753115373175226,0.05241823962041012,0.08474108019907496,0.06679973520905454,0.11580888648968521,0.03393303658445509,0.018199629469645106,0.02220674219245256,0.007665548580698876,0.01083458147838807,0.018776549269449928,0.0013487783800308168,0.02718898936338871,0.06816844699495617,0.0017554466152669953,0.11807664245104507,0.07766838489362869,0.08219687260198741,0.09245862222426841,0.02439786409541523,0.02803292210157275,0.021529496088841134
Total Current Liabilities,0.020348834383681378,0.019506878232363134,0.07615685784298355,0.058040692824726355,0.02837046303210816,0.013144680070228898,0.012214268473212048,0.05917956894959152,0.05014290152072394,0.031342919782846056,0.027322126551321126,0.03637037245765423,0.03840900013674286,0.02889189686479927,0.08238750110088047,0.013210635972135855,0.043315566835633035,0.06403293638606868,0.031918351260855626,0.0259712741513963,0.042784990003628065,0.011896507569407529,0.014521329689443222,0.11828270138203119,0.054414316054657096,0.04175552870037543,0.08967745687343673,0.024721382251859037,0.023934545721956333,0.06870470667851576,0.052023268996666164,0.08394523900029821,0.04167691049682725,0.01850817832343927,0.052250368453550806
  Long-Term Debt,-0.010902406513440812,-0.008897007696817718,0.04497807386788125,0.04503901125357734,-0.004187396010057862,-0.015264625069530344,-0.006524453614756049,0.016327698216863203,-0.014688893750683916,-0.005459523066970538,-0.011653569239795759,0.0038491427262418404,-0.02695118467576839,-0.020879327563662384,0.03538345589562842,0.01402960185412087,-0.01408455772692257,-0.0042851461232731505,-0.01598608971841916,-0.01400221045939431,0.002821547617056227,-0.022419069036134633,0.014556816330606116,0.018861993161947775,0.035440902234018086,0.03285180529257829,0.04844136705923687,-0.013874106172769577,0.05961534778056148,0.04333912430299507,0.29219621560246045,0.5157875480256275,-0.00738259629058226,0.007543116919537173,0.02532907438247789
  Long-Term Capital Lease Obligation,-0.03031293630694955,-0.011544834707639551,0.009363015052542771,-0.001137774495402396,-0.027600437674235468,-0.03337066617358165,-0.00019712169936785028,-0.030842018058721565,-0.0048767449868048025,-0.033478686443277145,-0.04153156698439182,-0.004187899184755449,-0.03488486508768366,0.03518213254119347,0.025998653586774112,-0.01914953630512671,-0.026097215754178928,-0.0171796124453599,-0.03397347295709008,0.002144401064558218,-0.023477665097505058,-0.053793824460060605,-0.03006156476915332,-0.0028943947903095875,0.005085920468790027,0.029453825411620956,0.04035888218909958,-0.026790457886244137,-0.03420783486007873,0.05104867749146976,0.05990402642268912,0.07484996453405546,-0.012724531151425654,0.005798480044423245,0.02809080589384771
Long-Term Debt & Capital Lease Obligation,-0.007559377690214324,0.00107518790987877,0.05099263540611306,0.050675323433807436,-0.009782244711701488,-0.0002014603167424865,-0.014002032998428698,-0.008171673356636445,0.05071620775683697,0.003242152243898749,0.004038365445650435,0.03578262171271166,0.046356484320705715,0.022933135377722243,0.039854004288630694,0.028424345008729455,0.005817308153943691,0.038591678363022824,0.002907903782156084,0.05250970704898727,0.03739503151256776,0.003276823978327025,0.06607831588131603,0.02482778129001191,0.011165673998959172,0.18364719352024286,0.06750267768582058,-0.009307112323058878,0.07389426879238913,0.10367565128346376,0.2817140225409035,0.30060394175229627,0.004880941858933843,0.005354387446758239,0.014759395084208059
Debt-to-Equity.1,0.011940028709194183,0.019349405604821904,0.03090719291312855,0.026705856231884078,0.01495067190056983,0.014799477646260759,0.09372323526536719,0.08786837589842016,0.05181776109682863,0.050961356766707315,0.017983685115098815,0.04243770441870242,-0.009159933864102023,0.05359214827698998,0.08279416283835134,0.03203802325237209,0.02290676932647561,0.02739115725195082,0.05622294167194884,0.058366019136844395,0.0367458712663686,0.08973292515444303,0.03724174040405045,0.11445862523396817,0.06369597819165368,0.07132698981573445,0.0722084356346401,0.030539452626799017,0.07578802318015516,0.23375995984230669,0.22683635815445718,0.15605220793460284,0.05531728431188779,0.07961855632245428,0.07862913735194776
PensionAndRetirementBenefit,-0.0025895437005656846,-0.0032591390724531328,0.040821209116824124,0.0255221290260475,-0.011852963665546909,-0.005192587965448148,0.025310647215855405,0.04228956079975737,0.02995607374851358,-0.00628376195314582,-0.009882591247562822,0.010499571514191073,0.0319824355888685,0.03381930429800585,0.023342306543691363,0.00634452226815377,-0.000816886732040873,-0.011596342521316718,0.0051223717726709694,0.04886116056413591,-0.005892986891744056,-0.014511562416351827,0.0022655897288328306,-0.004278516517947154,-0.0014586573895566282,0.00760858477016093,-0.005237310557724435,-0.010469614931496144,-0.011626082418763357,0.04382480195767189,0.03673382760767925,0.05016702446762443,0.010798512273597223,0.00017899357946584392,-0.0035382166332705496
NonCurrent Deferred Liabilities,0.0025180840647441465,-0.004441856154305089,0.040269830181079734,0.028085872732864333,2.75169618204204e-05,-0.014831129341957572,0.01978497422487406,0.09637462260084333,0.03830876631380375,0.018361571471954562,0.003479793692915708,8.443273124613781e-05,0.025513542377374063,0.027767055293195186,0.021154600003514695,0.013867239586815197,0.013301941220940246,0.020210139137546795,0.005874551199529463,0.04752328832817357,0.00015587734942264166,-0.0013968137175913065,0.002699460564710823,-0.008677245038977616,0.0031599756481616934,0.0020440533378746546,-0.014699172345045319,-0.0006613262030058997,-0.009183073846517136,0.07518068764834542,0.08463569579492763,0.0926484081403662,0.0041993339751176615,0.016378899188832438,0.005306430529334456
Other Long-Term Liabilities,0.021174101488397785,0.018897457832342073,0.0506734587885454,0.04124465587156829,0.03228581677341025,-0.0010709979029775991,0.0028559585528999793,0.024963839627974757,0.0516555521363429,0.031838918597514844,0.022078068991055314,0.00833595202485543,0.017330449194161813,-0.002481241947474104,0.033584267088421035,0.0693334000583499,0.023018412745304626,0.04643357343987111,0.007073114751445941,0.00488100467216542,0.01980019424541852,0.017149470055579343,0.010306026564737034,0.019600920011559754,0.021081719269489763,0.022449328636046557,0.07305210288245358,-0.008650331909359214,0.05995733429862869,0.07538819161224623,0.07621888666880089,0.0923216798425163,0.009953866834635967,-0.000523121587254622,0.020761141272372413
Total Long-Term Liabilities,0.0259884437537245,0.01830177986621374,0.05484169388665695,0.03717183290094403,0.02465798705915058,0.004008272655830709,-0.0014780791386151651,0.02859203859264504,0.044652149353073496,0.02983945129699491,0.02300460479530583,0.01061313449809238,0.017612625291423177,0.002282170033161013,0.05617715378449886,0.04115428267603024,0.012449164895952151,0.0023835545209968585,0.020876671224438002,0.005900655234707201,0.03179714870326887,0.014807472671320498,0.00929819212689137,0.012886317736361024,0.019312838474782604,0.021636234162204754,0.07758211440968407,-0.0027159700618862677,7.372253601702289e-05,0.0541381030046824,0.07176200153465741,0.09709651058414717,0.03297237513206178,0.0056966518795907375,0.019755328131247023
Total Liabilities,0.02180899134298926,0.015807030935908153,0.04574314776695134,0.03998099077515189,0.026637275691839015,0.005325827416134713,0.022803853594961,-0.0019530157997611928,0.04424953550737086,0.0407910410119528,0.027177008815668927,0.021210102611817685,0.016161915685573014,0.023473350912668743,0.04956920379381324,0.012259542424846028,7.501386276845246e-05,0.008243533387701188,0.005499151693467242,-0.012032984922499435,0.020139997749752832,0.024902018836499618,0.019876354322200567,0.06874391810457421,0.06042796003928739,0.009132790879297026,0.06937255962888911,0.012914854642392667,0.013990870953124908,0.022078436097404553,0.028063485042119016,0.05821801997355949,0.029512598534725248,0.00848476980951495,0.04297379508624421
Common Stock,0.0010056068008601686,0.0029658284081620478,-0.009308834634468577,0.015322630212936544,0.006145223933903316,0.007567423689912752,0.008571204099146097,-0.008029350260524575,0.010756515410537492,0.012948081341293285,0.023643272513946417,0.039874868904665565,0.012732052509778132,0.013403634920120566,0.07625861192649375,-0.006540639612762142,0.014394579843457513,0.023404499496526347,-0.006983565336843475,-0.013345128925828162,-0.007744244673944486,-0.002822605887643572,0.00017915193896167296,0.4707654052752163,0.6472024672675162,0.021559012344049965,0.03531324917388934,0.10445062676274149,0.020794974620146445,-0.009993563582396853,-0.013477675869063174,0.009312695606662095,-0.00820800130953728,0.02373864840264887,0.0023281257914632334
Preferred Stock,-0.02200159823973251,-0.03214166143247101,0.013529981646773204,0.034867135731413465,-0.029159178779280096,-0.01679074269894886,0.03424847693180999,0.03143179121543837,-0.0006268519984787943,-0.023084837877248694,-0.027774395444048243,-0.0026116362717943844,0.08399897158541081,0.07676575206565903,0.060166943330890885,0.0055247216798097135,-0.013909153806469648,-0.018545318643569134,-0.025225048670054644,0.03247765923770492,-0.004231810060956595,-0.029831832030131004,-0.023571265178710173,0.07946305434497618,0.07726143567957428,-0.024580298002576727,-0.016440435670369402,-0.012325468360004197,-0.01711349347310559,0.017004017812481502,0.016737716869081144,0.03920165331564172,-0.000368515046380359,-0.00021693581650553085,-0.02077441530728797
Retained Earnings,-0.0021166499075515564,0.06894431463473692,0.10469042800984607,0.029437788633021,-0.008644374851441332,-0.022220749559903625,-0.014605020369281733,0.008942661782863386,-0.008153267409670576,-0.012115967871039066,0.051494687463297016,0.007917410505481871,0.0022497513623482394,-0.0004375160420874739,0.026423943852823425,-0.01645613460634427,0.00431277702470865,0.0012096377894093404,0.0035855843034585306,0.0019994117559017765,0.008572638311815508,-0.025632643333485167,-0.021325002518796484,0.030731113920472317,0.0871273684942043,0.007837373238624533,0.018231782656042424,0.006184702368839959,0.014333099143895706,-0.0030697619341881754,-0.00640341354719665,-0.004405456346548023,0.01094855909966802,-0.0006582042897716597,0.021505415039942577
Accumulated other comprehensive income (loss),-0.02255928709735981,-0.023783903666962924,0.016097113528197222,0.03457898308444592,-0.014880711055552429,-0.007980719683654918,-0.00010079024158779351,-0.0015856179437796413,0.030763994955676464,0.053058648054708196,0.00042012907214527694,0.002374204419763714,0.00886124089848852,0.012407794103950731,0.0006532352242619478,0.08565771050344272,0.01313358868114832,0.004817949395966047,-0.004463257142001456,0.03949841418601918,-0.005949301484613813,-0.018140478104471246,-0.009733997006762907,0.031180252370396355,0.027468872745972046,-0.0018606194382449859,0.0008817666856834245,-0.006762905933330289,0.004065647560514549,0.014254095127131038,0.027604757037936203,0.028999756753011082,-0.0005556975006919891,0.004608296199076559,-0.0012444777857535784
Additional Paid-In Capital,0.017067833399701464,0.005196626656517867,0.007498799868508557,-0.004972244113787026,0.0729205378748734,0.001142013339207271,0.03419572523765976,0.10646000579999332,0.09044963520659528,0.07654693366604522,0.08145635844654978,0.038821713499481665,-0.006321609525191541,0.08788220097465334,0.027291097695714358,0.07046199003909011,0.023649818834554824,0.013215366586324396,0.004608359879595066,-0.010764537959469953,0.017842534607448446,0.06646687272763309,0.08064488463309408,0.10279768530068041,0.023169141891909627,0.020914222941632855,0.08703177841352669,0.011355135837751036,0.09651576553876427,-0.013016308585593371,-0.001175969579149727,-0.006698550166698359,0.009776154074542602,0.04519457565022875,0.031476573438776946
Treasury Stock,-0.03286256780144945,-0.030832912884857608,-0.0010357459805803728,0.030580872609895726,-0.030310405545530727,-0.02724439208953996,0.0321011031570836,0.030829776115125593,-0.0043365561739364695,-0.023132686048024483,-0.030280335825740183,-0.023393353922430575,0.05955841988221589,0.0883788055053116,0.06533659425057335,0.06690047439112043,-0.02444548801274385,-0.019291864870548476,-0.026995292655047416,0.0257093248457859,-0.01620317662179627,-0.03446332823394531,-0.027719165329314288,0.07270333203724334,0.0769216701491686,-0.012869868926821924,-0.021694713384474804,-0.021111992788704372,-0.015697411923433723,0.015388015539897161,0.01037885837901827,0.03519905741518074,-0.01621279752489794,0.02588598384950941,-0.030743530055305928
Other Stockholders Equity,0.029335337768598233,0.02582401242663459,0.08099100204249914,0.07583835516716834,0.04045449413736231,0.02673497839076957,0.012508160653099697,0.03663397421826082,0.049413253607930266,0.036276767685935254,0.0058416085734511285,0.03143760043873198,0.09489691557754587,0.08189092948186413,0.11241646014142875,0.13394207527547905,0.07370416254268784,0.12370234043766824,0.045305168093132946,0.0529670700669669,0.021871352325082173,0.011126857449957013,0.01871484401818664,0.12775184787891267,0.10006278066841369,0.03455355825270921,0.03411315269886162,0.09682049396150053,0.07058001463350057,0.025873938585647627,0.02778503901782954,0.02786534465620188,0.05008388480777502,0.0018793523756039372,0.06636661763017375
Total Stockholders Equity,0.009084529342470251,0.00568202385176953,0.07075359888931529,0.06080174261860137,0.013279165621234925,0.010545824472693435,0.01691275541512747,0.032893874203964835,0.05092864216929506,0.032839873921749925,0.00056407614501338,0.023754511610093135,0.09953672764810904,0.0812428803370097,0.12196572305601674,0.030967877317921416,0.010482911434155268,0.008985215847630472,0.04461612910504,0.05357447778405067,0.03369101313288702,0.010270431140976404,0.01920279784215965,0.1086953645121077,0.25944295232187736,0.017812775264195838,0.025410454387445984,0.08613615519379943,0.023674208687724196,0.03190075978925732,0.03125443461581764,0.03119167199691855,0.06598896030146326,0.013531412029183168,0.07111483284737469
Minority Interest,0.024853035991948907,-0.0017891854857865273,-0.01322654656226098,0.045193442821900645,0.009230193441294778,0.03953476840449527,0.05174623304901364,0.05213048620214456,0.033274616924654735,0.042884878708234826,0.04047743645659749,0.036693833913110645,0.016341049734242052,0.06269672601304116,0.03468116048814581,0.01838685144793989,0.04349465240988819,0.04416500834898434,0.018605775099761215,0.0062691524649196965,0.05839610186244425,0.022517473137120717,0.020083372971657323,0.02627398695043126,0.026628196513086917,0.04444198828623487,0.04933019733215613,0.04665318808413489,0.048449473653653485,0.009014781144647998,0.011071606825930596,0.02163167411165951,-0.009369382840000565,0.021365299865300485,-0.0013318625696783918
Total Equity,-0.011944965137726986,-0.006062128217809328,0.039525703304586234,0.03855864613647117,-0.007018732576200708,-0.011721688936093303,0.016295637151153983,0.0185343419243651,0.02568681106937633,0.00640918130663517,-0.007149597225016525,0.004428189013563144,0.041982867358787854,0.000621323645707239,0.06098679021954559,0.008308170051138057,0.005305594520887927,0.010769376031510078,0.03493967412690495,0.05130183388683874,0.02664032815246176,0.0028136530991525535,0.003605784310953778,0.09092217091160118,0.09098502371631989,-0.0008014556421750857,0.001747932347454553,-0.002727245017958611,0.010542066691637604,0.010969872305753766,0.004890816892214898,0.017494395474781595,0.054054492882649574,0.028020600383302684,0.06506727218265237
Equity-to-Asset.1,0.06414847973266394,0.08068994547420602,0.05227288576736705,0.06531954176592693,0.05225849307615099,0.07748581855915188,0.14714988372643448,0.056110055925816166,0.06383260038401975,0.15299195201514323,0.06517837434643237,0.09668117197513859,0.13259327837714857,0.20541705206494218,0.11138702254796876,0.12081911383530321,0.19270198150555923,0.21169112059901102,0.08738782641519627,0.08072603864611932,0.07282095795382747,0.08510923669612255,0.08934271682483255,0.1516766414621222,0.1545776739802962,0.08968382418318442,0.0785111602054793,0.13711026342592703,0.10077301391443726,0.07926887528866805,0.050102826318044594,0.08328853536191516,0.09060786983837292,0.12522222071576358,0.07872983916849548
Net Income From Continuing Operations,0.10913233062197128,0.280332593003488,0.1549337004227515,0.035134030530551995,0.11112828543833218,0.0070011536450818096,-0.0004944751416843976,0.012005944858016222,0.12142410983024514,0.13423523143129457,0.11534150829387185,0.06002778391703349,0.0899003835732841,0.019649137694690687,0.02717272862568681,0.04343051957183738,0.030456690153437785,0.01621947961885181,0.0325484712203896,0.041086864404902494,0.04890835818546195,0.12130425551345561,0.12543931526356214,0.020610722932620142,0.04753244402607473,0.020772256485916928,0.036994759802998066,0.02083775549312269,0.04148686889103092,0.023296253387814284,0.028356988951756132,0.03307964081472042,-0.006188641662246256,0.0034458810169024977,0.028061845628908278
"Depreciation, Depletion and Amortization.1",0.004148093107551347,0.0013480690732159003,0.04477619141036214,0.03867653664199874,0.006467033426579765,0.022453866440640798,-0.015262039836799584,0.005662985612987242,-0.006427650102880475,-0.007898481455853592,-0.0011775533406560034,0.04594923805331688,-0.013212534182905402,-0.0407747588176386,0.018443294165300283,-0.0027420292055917676,-0.011648834552214096,-0.008054049606745484,0.013823388859634324,0.027246059556050157,0.0023702120280999026,-0.024950350312038697,-0.01442369438724268,0.040037730469513255,0.039983715535816367,0.00510820653319948,0.011804017910572919,-0.00798060979049577,-0.003896924194675162,-0.003258907043808744,-0.0024141508953121307,-0.007376664639305795,0.021054217573200355,-0.02477244645964936,0.027213382727620118
  Change In Receivables,-0.010774722360503175,-0.010592429761085268,0.13339088157549042,0.06409560239873426,0.004698997247796181,-0.019043516615831847,-0.007001423127123473,0.057926286198862684,0.09644373155509355,-0.026878474777059153,-0.010311789028092294,0.006424605310080414,0.022607055856302488,0.016438027098601773,0.0761756930235862,0.013820218755915556,-0.007009376771870518,-0.009952392426133905,-0.004214857763195148,0.006847254590988402,0.0027555764903297855,-0.02698262925116325,-0.021893423396194097,0.012210262288269743,0.02103383076590969,0.004022551096806097,0.0065934239676571586,0.02641667982049577,0.0026177070594680003,0.002893311161155611,-0.00658659876733144,-0.010662604114051092,0.08003407933367152,0.08090200007249466,0.10205376770155086
  Change In Inventory,0.014177190256413903,0.003960782136286813,0.05214339718440548,0.07728832497247033,0.012417652583168775,0.014112843003973741,0.017460291474510663,0.03718114228431959,0.030680776362279883,0.06960860462152933,0.03638850216439527,-0.0008466723034031569,0.04462072161075809,0.07276066274335617,0.10749235445670288,0.06545795300316291,0.016247637838951483,0.009634142662970116,0.04040611427734337,0.046637698759433105,0.0576817462427768,0.028207608031783266,0.040304868267702035,0.02134451153560748,0.02397362917742778,0.028860973481197857,0.027167907110602334,0.04091211197761264,0.027947905926175153,0.050046895403768166,0.053074909357434356,0.04950430367652293,0.013913675107713384,0.07103112979497542,0.044368536348161854
  Change In Prepaid Assets,-0.011960310562961254,-0.004058287282200639,0.027072666956602865,0.03708810521400382,-0.00644411077380823,-0.014054077994396535,0.04247094192696108,0.12860617239271616,0.03129194869854044,-0.010807409994132228,-0.011749181088007671,-0.004857467991072083,0.08943833109214076,0.09736191623825159,0.06679587667739185,0.025090455130159492,0.06246952644963073,0.07797367346077515,-0.00044305551817633336,0.03332321664381535,9.956609442801222e-05,-0.027129175326539773,-0.009233097533923249,0.0565534212839979,-0.006882739874526219,0.02373169132414094,-0.014439955914833737,0.011248742373418897,-0.0015541752177418012,0.093110984649095,0.09245364152457834,0.0989516060649908,-0.009290951926280287,0.11595705219379603,-0.0076392978426238845
  Change In Payables And Accrued Expense,0.05489405007708277,-0.023155014983122058,0.07199868049350826,0.027398504538658764,0.03877050766067284,0.06234742500197578,0.0873894977813811,0.09458879315094164,0.0767228394141366,0.05887326998746988,-0.006535005047349681,0.015953796869194695,0.012080343186782364,0.00862476066710755,0.011064509496024088,0.024339493382959206,-0.017580942134263065,-0.015315207808910592,0.007359903497294959,0.05744203321708665,-0.006297238775400027,0.04135787932187174,-0.0038257929597664488,0.05331095700930842,-0.0013619736375182802,0.01231609288779643,0.06834812967997889,0.05417521644631349,0.050787288644548095,0.07373215544611063,0.07942078970790398,0.08318931303064615,0.07744706360515884,0.08891211055157727,0.06909041280237792
  Change In Other Working Capital,0.05817872408318264,0.05480163003624129,0.11708331199298946,0.10187049386558605,0.05567333346276766,0.046605771333764895,0.023497487773358215,0.05161885120241769,0.05807856095523165,0.12908397382426307,0.07595009716410747,0.05916576317588038,0.07176077026368832,0.046251132862793885,0.09758869784309741,0.15655365480783037,0.08174044532253752,0.09543949126489722,0.0492329655549931,0.052190419267243576,0.04475971974458497,0.03899472946260124,0.04482436763311619,0.09353053975312975,0.09476025522178153,0.05865144637711347,0.07826483087351545,0.056335416593179276,0.15832193482144194,0.052212026266125484,0.04993149353433066,0.06171934169924023,0.052812181395207436,0.08648278566463614,0.08542393076068763
Change In Working Capital,0.05418341533730574,0.04926677699166661,0.12140061721709669,0.10141352858474598,0.049673514196794125,0.030007724306127147,0.03315462693955403,0.06466536517226627,0.07067785400557083,0.06654312923522204,0.04501552060445907,0.04318228999201799,0.07185881135887827,0.04820853901699121,0.12246377909288358,0.14430127392974626,0.04683958820761334,0.045637452152119326,0.04103119107500917,0.051765958669508345,0.04213665878355087,0.035916130549067796,0.03656427368192074,0.08071691531017991,0.0785808907564243,0.04575087218218649,0.0818044976240842,0.05163174247355445,0.08140568369826146,0.044055635049558464,0.05107676333711165,0.05239417036127373,0.052693304166222595,0.07420686612304829,0.10661405636542802
Deferred Tax,-0.00991386016488937,-0.02007199236077893,0.0425963035890489,0.07034949298765023,-0.005384331858448989,-0.015629687764559287,0.0805015113002288,0.015111976123161506,0.013869526517568512,-0.012673363135132355,-0.020780391495436916,-0.016239172166215156,0.011760104829677438,0.012354006715692851,0.05800916781996925,-0.00045394592738648085,0.00731044125110546,0.01748003415323059,0.003775177515575975,0.018903382799855546,-0.009817978130227115,-0.018863667253022035,-0.014268749046753852,0.0010832765733618929,0.013850837891631095,-0.0024682725771050145,0.004196910314132184,0.006725412641497567,0.007241202495210812,0.04640861695282901,0.04808655282191436,0.055310301612937894,0.011320737630919763,0.02093506370063076,0.0373888658181427
Stock Based Compensation,-0.012316499579297627,-0.0029845879667002775,0.02765953629695675,0.030367292735526037,-0.013772680816458993,-0.005038637291139484,0.018290791965454106,0.02677832654692184,0.017006309670120536,-0.014803002152393314,-0.0045939367068518625,0.011530308394832095,0.025593845656687916,0.03879821692809384,0.06703067466347286,0.01749701728652821,-0.00281795378713103,-0.011878372641487361,0.00047369848018162476,0.03875951330335161,-0.0005753716433797938,-0.012946858753574327,0.003229526985869894,0.06995272433439535,0.046486367740340984,-0.001291176844082522,0.0005405295954119527,0.05086230662507142,-0.0019005228840166437,0.03384291956757683,0.04072084512996602,0.04153163800141295,0.00547345220209642,0.027788503689444334,0.006569112855318967
Asset Impairment Charge,-0.01102542438963974,-0.003509377989520979,0.034795015437384454,0.03467261815141114,-0.009807703906751867,0.008433381931993432,0.03306363032655145,0.0398045151847057,0.028577726405679172,-0.0063572782339812554,-0.005130091113360243,0.009100367022617612,0.031804063436798535,0.05536460962518943,0.026047708964466287,0.00941576957367115,-0.0010670791259776748,0.012719230815862848,5.655979992559633e-05,0.04884446206024145,-0.0009752243197641381,-0.01907489067031262,0.002778237393475822,0.015293869774121664,0.002220645508625215,0.00552217036854212,0.05108018583057559,-0.010309324412844368,-0.007280417716018603,0.09890379534336544,0.0903027149650659,0.06102440055190247,0.010123627869896911,0.02753332523089873,0.004150426237946616
Cash from Discontinued Operating Activities,0.03566918780827519,0.05824145017547881,0.13684333654662895,0.035593071795566145,0.02272218938852668,-0.014483508524118359,0.02555029331320339,0.03731672718199204,0.06560494587492642,0.08222666659542574,0.062443655021187254,0.006695076485719801,0.00493984509549142,0.020692811989672457,0.007162851305087562,0.10118438174563557,0.0028191167632447022,0.002181594157812049,-0.010762352448156074,0.043215978540288656,0.01591488980120819,0.0668201741250647,0.06633374743679457,-0.002062115098891199,0.02066378333438326,-0.0044009196235502545,-0.005237310557724435,-0.013353619139795067,0.06914183319357406,0.02985027297207564,0.03332321664381535,0.03770181224988373,0.07930154082601272,0.03422963779004529,0.08419269235709805
Cash Flow from Others,0.25679362822510543,0.08979754626347781,0.15761542114504848,0.040263850618247776,0.07699453117819952,0.012520871712299585,-0.013387290981070452,0.012089180340846134,0.20187016514747408,0.28774726063880574,0.07402110552420316,0.0029393912288421314,0.02318716639342164,-0.0020670551058690843,0.029672583386789936,0.2825382334796575,0.018017665941587803,0.020614406134802508,0.00945274988726333,0.017770222979025647,0.007994207057646585,0.2586179282528114,0.07729941564454075,0.011102558511037064,0.03808385868265804,0.008892142238228914,0.0005286828144361985,0.003634803650895041,0.25626325746816464,0.014112144070259517,0.01811052331724553,0.02370708896076177,0.030903620899892726,0.10200758918629575,0.019041322181763673
Cash Flow from Operations,0.5306561819536317,0.3163358290671182,0.35304710262300865,0.044240638041846594,0.2657419631129875,0.020007441414255613,0.0006972405070877073,0.005731404839475175,0.2683481504157384,0.3056746012171107,0.2886516953963594,0.04767454996082344,0.08385829063042008,0.02243070463702409,0.036301281301579745,0.07893520040574725,0.0335616206214047,0.009298973481046817,0.025706930299610666,0.03353784356992253,0.04477723501039842,0.2871660201561312,0.28467693072698436,-0.0028792132690692138,0.03239798050685176,0.01762480112468216,0.018367948818496183,0.02048776302359578,0.09857874985479947,0.019509817987420634,0.019067721265567793,0.025602727679305225,0.055228888674063815,0.02969534673973049,0.020152611972673432
"Purchase Of Property, Plant, Equipment",0.09241360861320118,0.09405057705964676,0.16645831105210235,0.15207096337273915,0.12412749349061519,0.08807772810706799,0.06146492273117847,0.10122273300305593,0.10960688044107758,0.08033924541499722,0.08284775292519245,0.11234266475439926,0.20735017024063188,0.1787850264716601,0.21266758212883932,0.10327044078979923,0.1884314029130185,0.19068840724182928,0.38665776225960247,0.5946288618915423,0.1782290105465684,0.06773275418636886,0.07628955559179508,0.1467671341389953,0.14724669485030764,0.11932399433660965,0.06717461840675713,0.07196362855170488,0.08449816717634019,0.11817973166341314,0.11552458766516245,0.10003563985656314,0.12915838081372136,0.04018646389597787,0.15236019518597702
"Sale Of Property, Plant, Equipment",0.021412084558802467,0.027337150855161335,0.006796370806158471,0.003694547328801294,0.03974407787421084,0.017627667386150764,0.03702830458718987,0.02023946974467896,0.04878521184441971,0.03779564452888892,0.014680112064191416,0.0509201647920514,0.1085778356497343,0.08651818017060867,0.11794285893266321,0.008498058724956261,0.12248863414221596,0.11228156118705142,0.2925669257342421,0.5054972623606764,0.10425704027607012,0.02076133287703637,0.03152233990357278,0.05510343608085413,0.05638738736750951,0.04036076739182673,0.026867400354117877,0.020776489206359154,0.03159233713823813,0.07148004380399323,0.05841941658725998,0.05045753639779579,0.057184022931637074,0.018975850348625534,0.06655567733370278
Purchase Of Business,-0.0027950779739349197,0.0002500354999100604,0.08908881793288112,0.03121769575079012,0.0112460350713026,0.022288653806613677,0.05217231429214236,0.017287010888983885,0.000709222710970884,0.04836245539186593,0.037550365871659074,0.0096129737343101,0.06201907828861331,0.047232361738047006,0.12265327864470466,0.00346162170868714,0.08759437799405864,0.08249472842399644,0.08392236118872154,0.09046421343862213,0.09972624852883477,0.03416279733514927,0.05321624632463864,0.06941575576385722,0.07393154639697681,0.023994985595292,-0.0005702059574150681,0.0007478970337378996,0.0016518444891794899,0.01946223194623431,0.03563441795009362,0.010455606121699693,-0.0012697523090913986,0.003518961075341821,0.08210734634130798
