,"Cash Flows from/Used in Operating Activities, Direct","Net Cash Flow from Continuing Operating Activities, Direct","Cash Receipts from Operating Activities, Direct","Receipts from Customers, Direct","Receipts from Tax Refunds, Direct","Other Cash Receipts from Operating Activities, Direct","Cash Payments from Operating Activities, Direct","Payments to Suppliers for Goods and Services, Direct","Payments to Employees, Direct","Taxes Paid, Direct","Other Cash Payments from Operating Activities, Direct","Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Amortization, Non-Cash Adjustment","Stock-Based Compensation, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Unrealized Gain/Loss on Financial Assets/Liabilities, Non-Cash Adjustment","Gain/Loss for Other Investment, Non-Cash Adjustment","Realized Gain/Loss on Disposal/Sale of Investment Properties, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Write off/Write down/Impairment of Capital Assets Loss/Reversal, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment",Other Non-Cash Items,Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Change in Deferred Assets/Liabilities,Other Operating Cash Flow,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,Other Investing Cash Flow,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,Cash Dividends and Interest Paid,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
Net Issuance of Debt,-0.010286762545840164,-0.01946304117821252,-0.027772836658071644,-0.022510950879657893,0.017656855043463707,0.022106614293037938,0.07250778144729417,-0.002927645761247032,-0.0018369777646788307,0.002678905802495947,-0.024930204394605117,-0.021025146921660864,0.004027840561983679,-0.023521615891790807,-0.03642111231447311,-0.014393387706031317,0.04011712187387311,0.047482084666623396,0.03104039666074479,0.13505589340484817,0.021734864173824173,0.04946648783442646,0.06961502400657843,0.10084396676567949,-0.023709713082885848,0.07281628287647594,0.018948619081362902,0.010109376542154035,0.07195457269031075,0.07088768566578707,0.04744467806506941,0.08005671343097755,-0.014093236397802383,-0.013188498546061411,-0.014126143033695256,-0.017642007000734566,0.03868847879813685,-0.018793622298032452,-0.01750894062691603,0.0472841321112264,-0.012650241257718494,-0.009821531977754434,-0.016559068071936005,-0.004226239810351606,0.024858269697164863,0.041718108208697945,0.08967655703171397,0.017872193076302424,0.021589843091400468,0.028664673920540402,0.04397036726272361,0.042139100628566635,0.010478750989537811,0.05329589759748861,-0.014238097856827222,-0.0033945772833005507,0.04582294659513783,-0.0008206887769523982,0.02405589699835156,-0.0049039341905151735
Cash Flow for Dividends,0.11921339184035408,0.12225767082717248,0.12970948322766557,0.039942076302771565,0.013345324490165377,0.10489074216488968,0.12756611466229645,0.05191761552043883,0.06855608389819008,0.06478171742721243,0.15163730369095607,0.11924861038111703,0.1200421300181325,0.137669251450649,0.13768272640837578,0.0824768407585319,0.037885889719147664,0.06447811088152058,0.04831249876980948,0.10967635748778101,0.118534777815471,0.1218194795585675,0.1379581563968455,0.10797463784148441,0.1286942779442113,0.06663828692424047,0.15214156339319268,0.12956829639685707,0.1123538049023449,0.10938410808296482,0.06630480814140412,0.08630797294451938,0.043567740446082644,0.05415819132233987,0.06218627548252499,0.06743972013060592,0.06914298878964553,0.04823122430128972,0.07218677654861608,0.06319397599453544,0.14261932424167892,0.14274472558360501,0.1465692225149049,0.06765155900113441,0.06561277443399322,0.0335775105228287,0.06091123458646328,0.04246716061847871,0.03831466639307678,0.09007054077146431,0.1675868390721689,0.16282383089829183,0.36058889111314263,0.17395255138961416,0.05428042282447824,0.07983835422564486,0.01224039469681336,0.07378353568344959,0.11405057757359266,0.17170905306958575
Other Financing,-0.01444563447459625,-0.009587709935010843,-0.036438489751912155,-0.028552011187064033,0.03301884331607235,0.04064678679590981,0.08540024684640485,-0.011638984514684416,-0.013775091409677028,-0.004436515585964541,0.07215396562061109,0.004331740217801805,-0.014883034701524876,-0.013346399460538793,-0.01747362714527309,-0.01690163496899233,0.009618580211137021,0.013357892666011341,0.03353007028541942,0.07200753287800676,0.00854541283705055,0.06225423355480837,-0.02329618373613622,0.03419537127313118,-0.011757406447118902,0.04706877921002193,0.017862937690651816,0.006607627620110302,0.011453535437375494,0.0386198319939694,0.04062911420321857,0.133809675283609,-0.021395850442242945,-0.022950066162288413,0.009077668646943813,-0.016016960908608244,-0.032601702176585874,-0.0015477653609929122,-0.022923038657790665,-0.024044479534715404,0.10953437023604085,-0.006681646530072091,-0.011965490265001964,-0.035170612864088534,-0.00016545701976629183,0.01427529389767445,0.009422383641134641,0.029724360864810048,-0.014712978630156828,0.13466230099835355,0.05218353077294037,0.05029027518875987,0.0004668090070866224,0.6661745628180631,-0.023900904715373872,0.0003481611866579023,0.0330582026460332,-0.013362934462819318,0.10564713983668057,-0.006252836676938083
Cash Flow from Financing,0.06108393595257426,0.07446107445434226,0.11167412745585338,0.04954233487449492,0.03888057739593336,0.0950398700419478,0.11844100077288448,0.011776814460622231,0.015532310625935858,0.0055612626254844255,0.07349333611992158,0.15622821072304835,0.05928739060088509,0.09188552764016107,0.008145369506527268,0.04235305355269762,0.04519430483062021,0.05032622051319163,0.026251938863211983,0.10217616202702827,0.054756313566930594,0.12710308001327925,0.11921877670596681,0.13130466023331522,0.0415441717689448,0.07454360321155834,0.03294050276732496,0.04081303191295525,0.041176005926903333,0.060704660774405436,0.043462807850394775,0.10714804656622186,0.032960214895136515,0.028034099163241042,0.019281911209539725,0.046336647535731246,0.041597138352397,0.03549276952095421,0.09559015706814575,0.007229533887349647,0.193332009158396,0.28770043034498494,0.1937109556305337,-0.00031602709057687063,0.039356615676628466,0.028188242932744748,0.09367494228353893,0.07207148312010812,0.030673299515129496,0.18584059767805003,0.9493057291737345,0.5686702175606557,0.11716495332390554,0.5502982342897573,0.055776324671668716,0.038310945296192125,0.011836070787060353,0.045991422466455614,0.14068514718768738,0.11631050055981086
Beginning Cash Position,0.016551824816126024,0.010897385760833244,0.12901980093331866,0.02846682310783133,-0.010222581392527979,0.061902487934007086,0.13115432006213168,0.01484579998498398,-0.00650876917026936,0.01478249824415132,0.13768748908482553,0.009420329383205245,0.016078562440731612,0.10411414320808733,0.03839765689216471,0.09876276908084572,0.017317087348117134,0.02586647206862482,0.012881692422585921,0.04970507506395494,0.02424170416603236,0.0548099031392076,0.07369254048361973,0.004665501876318209,0.02681293310804299,-0.0030984607128614924,0.05128577384353092,0.025552869561484448,0.01629223470524869,0.015544511972366655,0.0010261870577685404,0.019489928133149342,0.07123619724176626,0.034629863658796695,0.03783800631965768,0.05768045416678499,0.10557337397644323,0.024996249016200664,0.10477098050884234,0.04231045241891827,0.1276329348974284,0.12508206518186757,0.055111210731157975,0.04889554712517174,0.01780414425258684,-0.0032429098224902786,0.008335704256800322,0.019027610180883548,0.036424453115429085,0.08610625771354227,0.0930673798348456,0.05595161481078013,0.108202622975625,0.11618863708907862,0.1248035955531569,0.10574637734723506,0.019014057466197963,0.11236558775469736,0.08445389917015503,0.10052150200810489
  Effect of Exchange Rate Changes,-0.03930262048728471,-0.03964242127343648,0.10721252112610567,0.0796468552754881,0.0026051379027189963,0.03800126180183038,-0.008266583413318662,-0.005758284190611571,0.04265047481899916,0.05045777987109481,0.006989053264910222,-0.03228611782062691,-0.04008040263667029,0.020711383804007725,0.007008432475827851,-0.00312003157260327,0.034110714986565344,0.03741198237460023,0.09664048199508729,-0.0011390498587107514,0.053200876846868514,-0.0005980607244975558,0.0104860665896181,0.02803082277056863,0.05414265320631398,0.002746786381512048,0.012309180966105629,0.0459743145804958,0.034116621634027205,0.03720520629925224,0.016766217661333217,-0.01015283166036348,0.1472435167549667,0.14217350087015587,0.29180029549958136,0.2033029166395645,0.0914695787224731,0.07735718110889545,0.10992034574234666,0.03927529450467189,0.04367630629258512,-0.020178210922035398,-0.01804758699336084,0.07507529050305149,0.08284996860055642,0.04277843240678979,0.04551364308495856,0.11305553669671373,0.11446946030105967,0.03435883408717465,0.08497411842422514,0.08094991609731907,-0.014983534262078144,0.0013155929681214562,0.10759734308399997,0.0944980895975397,0.863624632352272,0.09428974769821713,0.003692471898571601,0.10818250727823871
Net Change in Cash,0.1040087637478547,0.10596632906707275,0.1121764992423139,0.03150951139553943,0.01850758049202914,0.09908478852759565,0.1495496960600156,0.05676623699081842,0.03322531376619306,0.03121779226049099,0.11607996530562673,0.0889063589828416,0.1062177321367451,0.09997304705619986,0.04209675806897508,0.12908135124662462,0.03491279616240499,0.037485776043376114,0.10287414873634601,0.12524913003896448,0.051910976474731994,0.04773343556122812,0.1569746901741726,0.024250677061082075,0.02759976779301011,0.08667410151976389,0.0409580020530777,0.1158505914273725,0.02750828798814076,0.0671096297184687,0.036391442488744014,0.11576068350224,0.05666680149634347,0.06339025550647336,0.13377929753457232,0.12537358008028035,0.14698044546376673,0.13726849462885854,0.13726849462885854,0.07445169698109524,0.11951774245580549,0.1356623150856119,0.06909081311066641,0.044479111098393004,0.051553634383427346,0.02920337093659657,0.14023135532960473,0.044992192799444435,0.037793808809776126,0.1383602888821713,0.11321815328912568,0.031777073673190395,0.07687564576268405,0.1044752240143948,0.10191181947551031,0.6971407860006492,0.16057616689706847,0.10847277726166211,0.11370411677981751,0.2873290443056711
Ending Cash Position,0.032754566483457474,0.009459361171309204,0.1310324160617813,0.03121563023754718,0.008058886629436478,0.06394011186260497,0.13465735663935005,0.026524012278903667,0.014415275492813481,0.021963888144652763,0.13908107982091583,0.035320292680555,0.01683052102829695,0.05857758801120507,0.09618832053580692,0.13150493795413337,0.08740702167117727,0.09475244435107928,0.07933551268831474,0.13201684340032785,0.021936775313358234,0.05077944588299986,0.06552493667675285,-0.004428275053519821,0.022808925928614523,-0.004789312825700072,0.06209872349332306,0.09598184634896598,0.009873584285669267,0.07340148876729471,0.06995926587183382,0.02441055454228674,0.07608890243584739,0.023590139722582386,0.036985144982911215,0.11455920624674493,0.10319996277343517,0.05585619773722597,0.10214955877341209,0.041526002683275796,0.13191744798741287,0.12254801536491287,0.11288219953974947,0.056168137157955045,0.02055786722061328,0.0053241074507289505,0.018925495131052725,0.03428887541227132,0.03202978937546819,0.08673382148056452,0.09352995192586794,0.07038631191575523,0.11039530028281115,0.13232838693262272,0.10272806759934028,0.12468991985008372,0.00752066071221528,0.13403909182629054,0.08663390755872952,0.10294061024580685
Capital Expenditure,0.06153731646815973,0.03341804392021495,0.05674824996364725,0.07453977002922767,0.09902534262488626,0.04719390934667233,0.09454018268671845,0.09376665364191086,0.08754358013625134,0.0830327366670533,0.0669455608553922,0.062047362921718294,0.02612612345545029,0.12812119680168868,0.04892802088197432,0.09521153290869226,0.07485892710664906,0.05209286135889227,0.06609898162180677,0.15709688844247235,0.04836255900908717,0.11685636013162011,0.042025858404243215,0.0392075627943523,0.057556881305897506,0.06426159970474322,0.03708690145505967,0.0645899895951384,0.03397619886686089,0.0921510562356832,0.048765882749706085,0.13954668170218487,0.16786390163794745,0.07977837255272326,0.07464504580729456,0.08313062872900133,0.18388685362781718,0.09433797067032586,0.08149750006092427,0.09599229341146147,0.062363347036955306,0.1532048199295057,0.07132621114995481,0.08050174033522418,0.0892383027886255,0.07964570447075532,0.09275229099082273,0.09594060127854419,0.07938250391423904,0.08994248197596082,0.14511692864220765,0.06038192865776824,0.08460390081403694,0.1307584561881167,0.07611153993914802,0.08991300000149804,0.0798373293466928,0.0779883963834138,0.1054854308104789,0.06925523923336231
Free Cash Flow,0.10119443107311547,0.10560171712337146,0.1017853496123581,0.028883679854856962,0.03748051641890942,0.10080641734073964,0.1368976273370633,0.05031618313763802,0.049929889728189264,0.048599330690116155,0.12332763122212495,0.09965694425818152,0.10594964749158794,0.10520234543314125,0.055112712026487966,0.0706571834121271,0.043285083482889675,0.04718559393892114,0.04275906062642256,0.15773854745168409,0.030177892537139577,0.10534250200581562,0.056976130767953145,0.04065872234660638,0.032561412140616953,0.08214149326104592,0.0670980450629923,0.1029815093692329,0.03482108680845054,0.05982490946845337,0.05027724849917593,0.12022875621745562,0.028858421172730297,0.035731598015764435,0.029950768490864112,0.046114485248864315,0.02694896720991455,0.03745404813999532,0.06553313011253306,0.028143760378363233,0.09462927331301288,0.1489593400612957,0.1415175518135096,0.028474488784252853,0.03982998910037732,0.01934578194940751,0.05368200153078545,0.03887716870617126,0.03562987749815732,0.126860644727668,0.1315932143748486,0.1246940573367577,0.13979039489763156,0.14397172213467405,0.12523125437684882,0.15259353115919846,0.061509534131235735,0.044478164048367935,0.1282714022174779,0.14406291857850942
PE Ratio,-0.047465116377908324,-0.06614445897564973,-0.03859142784526456,-0.0234735205709451,0.0341800349093611,0.06361342498690993,0.055593191717919835,0.051869586350578145,-0.04968703488206394,-0.011984964291675953,-0.0028237374723292684,-0.05309608643127742,-0.06612573096194375,0.0036870835295959694,-0.06085832606628404,0.02050628338303096,0.10268386269080872,0.10210786995769752,0.06063347645243163,0.09960325212886585,0.024221322592615585,0.06173824694853041,0.15435535418902274,0.04074799713430226,0.052559605452363295,-0.017844252088125706,0.0590638295362098,0.03722514986337414,0.03737320551318921,0.06291577456266952,0.11470492757412787,-0.042595266202823424,-0.027356607260438627,0.00445350011796101,0.004777683084144375,0.0068222973082062745,0.009369925278589902,0.009311647331676855,0.010412875397970181,0.09846097154050272,0.018013173072517985,-0.0675061376935236,-0.06560424867259605,-0.05141900952200819,-0.03314101287471917,-0.026519825707771713,-0.005214841581033244,0.0008741536149172954,-0.03178423063787194,0.06447976341477361,-0.038237586240686475,-0.041743049542794716,-0.0008963964166653587,0.007293571849592924,-0.033496238619433225,0.00573157355058648,0.08259684171696305,-0.04822719698777909,0.006292844511771223,-0.05680148522771791
PE Ratio without NRI,-0.058955984650968636,-0.06300190790344537,-0.03917086448733495,-0.03910971838809895,0.07217113309080014,0.054075496528303846,0.08468454675249604,0.08536339873199772,-0.012183346277767054,-0.018224136880982945,-0.014530228295331314,-0.054240620897972464,-0.054953139093901704,-0.007763570430234528,-0.01994152499721289,0.03687231096946007,0.13885345474213437,0.13588875868885733,0.0811776525457639,0.10164616367782182,0.04393163613602702,0.06589499296310308,0.15639203174330965,0.046675892654752346,0.05755257700536223,-0.014820523351995346,0.07744857283531537,0.04564943455505345,0.04388207220793131,0.06967385112707548,0.13971159748966744,-0.009982153290200739,-0.003558090066730552,0.010905510440384524,-0.004813444182041464,-0.00803569479646445,0.04838145338211554,0.0494425344377983,0.04980090782498598,0.10929366424957247,0.031308119009513996,-0.04285934316293951,-0.04733062022637558,-0.04325325048589909,-0.00655979253800067,-0.011065282423523295,0.0045746636356091734,-0.011781445887296571,-0.03254894441288563,0.08560675503708211,-0.03773489492934515,-0.04777663942443907,0.016068429042562962,0.028148993400051926,-0.0183071085010837,0.03355972098474985,0.09026912558864154,-0.03539548872502193,-0.01449239087360944,-0.014038473940754241
Price-to-Owner-Earnings,-0.031613746102510165,-0.020511931359259907,0.1163754040069046,0.06520123063019607,-0.014539780221450384,0.030124777191544785,-0.04386753152089094,-0.048942512920501766,0.04085715716664578,0.013627540570551652,0.002080057524296068,-0.028693882494599327,-0.024584422578746847,0.05206594352598649,-0.01803853728201543,-0.00616454541142826,-0.010275843260591576,-0.00342767411174859,0.019485992617152795,0.01384682217012332,0.07832686790417641,-0.0213836359542309,-0.010518501107941064,0.027159251949428316,0.0488089031472691,0.014443180046965562,0.019521084361325314,0.06042644643568019,0.05573267216573222,-0.009285691630138704,-0.0017320353589047191,-0.018124084613900828,0.043543958668898666,0.04247015117593297,0.06341196332916832,0.061847217993991274,0.07286183621547063,0.0718505428010458,-0.0003288403808101763,-0.0032939909528879622,0.030591552196295977,0.04680148174857271,0.03938673568908353,0.11883788564643949,0.10709622929986419,0.09713608435822144,0.06416917200480757,0.16369030655533298,0.1261159760776487,0.023574993523319702,0.05886159484902453,0.06419496846910103,-0.034798247313792025,-0.012388840389459116,0.042535394733875485,0.0030592465870451172,-0.014185247045178847,0.04801763448972703,-0.004930799792026996,-0.0023805827577266306
PB Ratio,0.009384064599610838,-0.012966686954707766,-0.0776566882080646,-0.004060929140974622,0.0019417645070065486,0.019308606829329042,-0.0989626042281226,-0.09676908372974795,0.03558560069185706,0.04792556781178208,0.0537432702914661,0.007422738967473938,-0.0020710076976119124,-0.04806546688009564,-0.020700367106596354,-0.03071991989990309,0.002234679485654019,0.005485078423175695,0.03913297757206859,0.026047244790319685,0.03872306836847357,-0.03535975075210584,-0.029485184785494535,0.01802921316706202,-0.052906489762784496,0.012071339140536458,-0.029835724151991434,6.116234173529286e-05,0.0016432004285652545,0.049750167507900414,-0.011191992037991979,-0.0008314197846920824,0.04719534570715277,0.00030520788917716576,0.039898142386552676,0.0447073456844299,-0.045737518977803135,-0.039324835642173796,-0.03936057307010061,-0.03144363061903432,0.008568693346273238,0.044494911443446486,0.04416352924752351,0.06339145769511507,0.0363770389382751,0.02293092234757438,0.02844540854891008,0.0012889237314877271,-0.0031996995003665775,0.025319442556683842,0.03537164010772989,0.035352032799859476,0.03792086758822234,-0.02284599653978303,-0.004771449017738229,0.02657049059703437,0.0439951151545008,0.029608488957803016,0.04762187784476289,0.03984212429418987
Price-to-Tangible-Book,-0.001402552038270757,-0.001123266905164233,-0.061715222525241364,0.019681386167715545,0.028973378635555144,0.018150392904249153,-0.05804832419159451,-0.08964695657565391,0.07045876540817511,0.06522246747468766,0.0819684460906365,-0.0006623695698016554,-0.0006007966189709607,-0.029880407737564046,-0.014477529628017263,-0.018427926377493138,-0.005933035080642882,-0.0030283861147327815,0.036216258536261973,0.012826833796616272,0.03336630939906803,-0.035932836616545526,-0.028520005364908528,0.01989575274751813,-0.05542452777369381,0.018883426905048115,-0.025434867079157535,-0.0017989459422745957,-0.00016590735005617575,0.047456897313432146,-0.004568687008118814,0.017124879576468358,0.036679513114192944,0.04652072489588391,0.04102291930063539,0.056540338831880046,-0.03766828394785268,-0.029701562688389634,-0.03227462131820005,-0.013482739062591703,-0.011837093818497435,0.08070553942487357,0.0422928035610207,0.05597709618399205,0.04421342517310795,0.03261880903149812,0.07085757268440383,0.018528798853401036,0.024776794920658395,0.03198615979583147,0.027629595373161696,0.02451587687522226,0.07045522858011004,-0.01429729807307443,0.031352084180276164,0.06680980026316098,0.04345084233464451,0.02654520851081862,0.05575200606849979,0.07351391414194787
Price-to-Free-Cash-Flow,0.04838048993389875,-0.006229787908547628,0.130748009669192,0.0769557324706442,-0.0004105550575611758,0.07409184973912619,-0.03035356769181207,-0.051026448397147844,0.009123863541226268,0.005424563221105141,0.09223058191067485,0.0548559648605359,-0.023362466252189015,0.04854638311594575,-0.010771965709733421,0.09797207363694997,0.010448396965071959,0.005228304160214427,0.05760380197123356,0.11684039750816595,0.05665664002171933,0.034410265081351823,0.03039983405608001,0.03551161657001455,0.007551574462256781,-0.01829225276375044,0.03774619966995347,0.10964993173564133,0.051761910002071504,-0.004451418814551126,0.032492309054353706,0.0691747003899404,0.09323393404150823,0.0940748353012176,0.13553079740640864,0.13511684744662475,0.03909868151918223,0.04392286700008528,0.044931953103815335,0.022212486157324986,0.12486099453800634,0.09261037362287251,0.07470036679762981,0.056901955439882856,0.07458372292199349,0.019604762082156415,-0.03019017363364932,0.08781434768741729,0.08889912497961867,0.11793683617382193,0.16462874045922593,0.13528775487758643,-0.008143393620027965,0.10585707589851324,0.16663501015835186,0.06064519643458691,-0.009501750468595296,0.04426257351670387,0.06933454055927882,0.04005262881679758
Price-to-Operating-Cash-Flow,0.04061147010238265,0.06874708429579357,0.18402175837029544,0.07565521863373975,0.008457127797521011,0.10883943221308365,0.0010242547562575614,-0.01890322167054891,-0.0009872714178822677,-0.00468698827532727,0.05331647955826712,0.028580678469495066,0.06844336639886346,0.06944474678939935,0.010119179202670664,0.09448289762825984,0.018722990158709818,0.02911116599304436,0.03957774434565127,0.08882906826945058,0.03873534486622483,0.018685932284792026,0.027234531715921523,0.02908945431010308,0.05596031288420391,0.0018394871112529553,0.039839592489070895,0.12232616620657169,0.06604504618397163,0.032385233076638015,-0.008107172033749117,0.01749269625687572,0.21783011757852147,0.06384591087416784,0.11946326951203814,0.12507114079596077,0.07563601938478488,0.07318883648887022,0.07610033438469835,0.019703212125863477,0.21021751666273858,0.11470061739106227,0.10172129013673985,0.04936155433861348,0.04676232637249418,0.03676757194154792,0.033699524220796646,0.0732639921497148,0.09097501833522544,0.11416739595148429,0.15061461971177328,0.15010472118653564,-0.02260543779975205,0.08368992666896068,0.16481536951744719,0.03597591438824578,-0.005742637203602893,0.12590973902501892,0.09383601018638783,0.03569150007395988
PS Ratio,-0.0016849810187933535,-0.015517450957954763,-0.0785616395996932,0.0249251681649785,-0.01747176934386477,-0.011429259567246776,-0.10681472993281141,-0.09794546151974479,0.005184715657952221,0.028500138849538306,0.009234035451276804,-0.002096742000447414,-0.017170431962510793,-0.026788824640531953,0.011500959390059568,0.001129296407335256,0.008971719398381595,0.013404969035481778,0.00923221851195358,0.015266716520822423,0.03154027703177595,-0.007352923337626393,-0.003996678695137356,0.014226407911656132,-0.022479685517781588,-0.02082449127926056,-0.0027509015618782896,0.006575621452676974,0.008574437856320592,0.014517849682264014,-0.020488927252101843,-0.041372594433875594,0.0574289321349816,-0.006006504770350876,0.01730966338400613,0.022158328203604954,-0.012488565724627176,-0.007993435554725929,-0.003813234981031887,-0.003194743752852705,0.031585674659145496,0.00733272149681485,0.004068025551981268,0.024906885222973154,0.011108668590911154,0.023811272093841172,-0.0075353199361453144,0.0057069941670617325,-0.009430772806108715,0.00011505945566635083,0.006032303668727456,-0.002058513538045398,0.0064480608506273605,-0.04430075949856494,-0.009639693742524574,-0.01493884987183404,0.01732786216200987,0.005663467853299844,0.015574586870642487,0.00443208649230139
PEG Ratio,-0.0012595527952734323,-0.003177601019551662,-0.1076000800359551,-0.08846058941409218,-0.023608024772956534,-0.02230200352259573,-0.06145597993829453,-0.07465198147510249,-0.006430985306760839,0.009830476789597066,-0.03749358396360595,0.00855645680158102,0.006415166273234716,-0.015714990782006544,-0.018100891119759415,-0.022925750623539434,0.014006676069687973,0.015598924820851654,0.007906599200783411,0.0217224817531152,0.007875113210247996,-0.008804267452192526,-0.01934130494174105,-0.00410491404101947,0.012862299578488418,-0.015358616646144532,0.0005339347051499738,0.01077546661273963,0.014334334883055765,0.027510734195097104,-0.01778720357888617,-0.023047552989942672,0.018877989707005372,-0.02002113483990854,0.05488481156021195,0.0601392137532153,-0.009181437391317413,-0.005220798873743876,-0.006168491259978863,0.0003811432229568826,0.05381341286247617,-0.01880758396549898,-0.026768015625829217,0.029751789584894058,-0.05742726270635144,0.01987712043087949,0.013160492332491844,-0.08653144414396398,-0.04676500271361496,-0.0005228894628978081,0.05564078755367767,0.0478279507061289,-0.03589449908209266,-0.010115404221798442,-0.04476816130669543,0.04804631874684522,-0.004874354222142516,0.05328898004277909,0.025400599534201908,-0.01866779297923986
EV-to-Revenue,-0.002762268541908877,-0.0005842543533719313,-0.08702063474705571,-0.006084661697349657,-0.0027432419992230433,-0.009714905811546373,-0.10106312192508621,-0.11581698079484345,0.03298796390094802,0.0048159835738997275,0.03263116393047834,-0.0030311723840722345,-0.002863708479031316,-0.015592696723564073,0.020276856098224227,0.011537443099035153,-0.0010814011959367972,-0.0009933437415731577,-0.0005641727269080389,-0.014685952709552903,0.0265199615691428,-0.017997348924652528,-0.0017065789918903843,0.01615731156689173,-0.02627730154076067,-0.018171716480187443,0.00258784754438015,-0.005419639587371004,0.009378426834411133,0.02979958516601156,-0.018957396929941778,-0.011751043604458259,-0.007517138283338513,0.04577279848707332,0.004611812100456183,0.006127918068469663,0.040148475367111476,-0.021627455382481727,-0.026113837313615593,-0.008373269318519823,-0.014109762319315503,0.009399267942321227,0.004112086880273241,0.0453248530641542,-0.020216780848296683,0.03386098379437207,0.020800615588373428,0.04088061631176132,0.03047632727368377,0.0030701516210240257,-0.02309943193890447,-0.022347292379932854,0.00989930340884998,-0.04614067396613801,-0.008251536724307666,-0.01005491317158693,-0.0021785122601793053,-0.023333282775290537,0.0063757031816244055,0.0005239256051734881
EV-to-EBITDA,-0.04000292751210966,-0.04023934805167326,0.0299078714701811,0.08241460476110458,-0.040303334620702465,-0.015121303129681027,-0.07252711465701252,0.03903367621008498,-0.0006695491575722326,-0.01932605530355961,-0.02752725879369544,-0.041290715260953306,-0.041438327402290094,-0.019949530665466772,-0.018993035304795108,-0.007874865157007997,0.01912337217850597,0.018847111685209982,0.006009258274352088,0.0019470513659477023,0.013525071772422608,-0.02426803177164392,-0.020464674182892748,0.012732009231101927,-0.024128380294945583,-0.03781913181303914,-0.009909611948315206,0.026699596952869234,0.008563091515242278,0.017070956134841928,0.03832671599372388,-0.006336431766342188,0.07140988592941137,0.08516511079836378,0.008037782454407913,0.008433760241231748,-0.008502690055422599,-0.008247688640000885,-0.008247688640000885,0.004649935280332904,0.03907589345733879,-0.03466430543033501,-0.038695821766231576,0.07338891406806454,0.05203958716839847,0.027776572587621933,-0.0318493210489253,0.07400711944512861,0.05330146463769355,-0.01714837622924237,-0.007339583787173219,-0.00774541028592006,-0.04884446101643416,-0.012267201545527028,0.06677415202628298,-0.045467097234744895,-0.014433020067360948,0.0038996303080599025,-0.009364107190764434,-0.0467071432706549
EV-to-EBIT,-0.04371682751917437,-0.0433015136911637,0.043128443818753116,0.09649556495149567,-0.044371191935220156,-0.03379534804320754,0.042504413464517596,0.06649481176120857,0.0022198086442971926,-0.010969753503199783,-0.026841148582359656,-0.04411624365240523,-0.045091920061711914,-0.024860926866555215,-0.025183945604123178,-0.01485826363593174,-0.005498168842854026,-0.0075642880195921774,-0.01958278990080448,0.014605285263459142,-0.01917671571818913,-0.02678119068349611,-0.022057439453945143,-0.018767993656208813,-0.027979617950682704,-0.027453208083585152,0.0037105266591761195,0.005404771851788184,-0.01590163774700047,0.028233108406173997,0.027149848830478274,0.024272391916596418,0.007821991586575457,0.023144118424939582,-0.017726369843169804,-0.01662847316720905,-0.00835819713565369,-0.007882826284288949,-0.0069758998079900054,0.002409773451806312,0.02056727549047855,-0.021539616213884272,-0.0234884019077854,0.005718056890794127,0.007748082466722225,-0.002917739780103947,-0.009544027229857975,0.08848529273193187,-0.009146227999535286,-0.03366182491068165,-0.030497814268046514,-0.03136539618696329,-0.030513685405516914,-0.0237178803184384,0.0023051881050351135,-0.02178669018318816,-0.014150996194793479,-0.01774054192562579,-0.014670325404861843,-0.025466204750083335
